Glosse	Nr	Stichwörter	Bedeutungen	Einheit	Untereinheit	BS	BE	LU	SG	ZH	Movie	Stufe
A	1757	A	(Fingeralphabet) A	1	a	•	•	•	•	•	1757	1
Ä	1797	Ä	(Fingeralphabet) Ä	1	a	•	•	•	•	•	1797	1
B	1758	B	(Fingeralphabet) B	1	a	•	•	•	•	•	1758	1
C	1759	C	(Fingeralphabet) C	1	a	•	•	•	•	•	1759	1
Ch	1794	Ch	(Fingeralphabet) Ch	1	a	•	•	•	•	•	1794	1
D	1760	D	(Fingeralphabet) D	1	a	•	•	•	•	•	1760	1
danke_1	465	'danke, danken, bedanken, Dank'	'(V.) danke (ich), danken, bedanken, Dank aussprechen (einzelnen Personen danken)  (N.) Dank    '	1	a		•	•	•	•	465	1
danke_2	7066	'danke, danken, bedanken, Dank'	'(V.) danke (ich), danken, bedanken, Dank aussprechen (einzelnen Personen danken)  (N.) Dank   '	1	a	•					7066	1
du	237	'du, dir, dich'	'(Pro.) du, dir, dich (2. Person singular)'	1	a	•	•	•	•	•	237	1
E	1762	E	(Fingeralphabet) E	1	a	•	•	•	•	•	1762	1
F	1763	F	(Fingeralphabet) F	1	a	•	•	•	•	•	1763	1
G	1764	G	(Fingeralphabet) G	1	a	•	•	•	•	•	1764	1
H	1765	H	(Fingeralphabet) H	1	a	•	•	•	•	•	1765	1
hallo	5209	'hallo, hoi, salut, sali'	'(Begrüssung) hallo (für Einzelne oder Gruppen)  Hinweis: typisch Schweizerdeutsche Begriffe: hoi, salut, sali'	1	a	•	•	•	•	•	5209	1
I	1766	I	(Fingeralphabet) I	1	a	•	•	•	•	•	1766	1
ich	238	'ich, mir, mich'	'(Pro.) ich, mich , mir'	1	a	•	•	•	•	•	238	1
J	1767	J	(Fingeralphabet) J	1	a	•	•	•	•	•	1767	1
K	1768	K	(Fingeralphabet) K	1	a	•	•	•	•	•	1768	1
L	1769	L	(Fingeralphabet) L	1	a	•	•	•	•	•	1769	1
M	1770	M	(Fingeralphabet) M	1	a	•	•	•	•	•	1770	1
N	1781	N	(Fingeralphabet) N	1	a	•	•	•	•	•	1781	1
Name	5382	'Name, Vorname, Geschlechtsname, Familienname'	'(N.) Name, Vorname, Geschlechtsname, Familienname (Person)'	1	a	•	•	•	•	•	5382	1
O	1782	O	(Fingeralphabet) O	1	a	•	•	•	•	•	1782	1
Ö	1798	Ö	Fingeralphabet) ö	1	a	•	•	•	•	•	1798	1
P	1783	P	(Fingeralphabet) P	1	a	•	•	•	•	•	1783	1
Q	1784	Q	(Fingeralphabet) Q	1	a	•	•	•	•	•	1784	1
R	1785	R	(Fingeralphabet) R	1	a	•	•	•	•	•	1785	1
S	1786	S	(Fingeralphabet) S	1	a	•	•	•	•	•	1786	1
Sch	1795	Sch	(Fingeralphabet) Sch	1	a	•	•	•	•	•	1795	1
T	1787	T	(Fingeralphabet) T	1	a	•	•	•	•	•	1787	1
Tschau_a	7265	'Tschau, Tschüss'	'(Verabschiedung) Tschau, Tschüss (schweizerdeutsch)'	1	a	•	•	•	•	•	7265	1
Tschau_b	1952	'Tschau, Tschüss'	'(Verabschiedung) Tschau, Tschüss (schweizerdeutsch)'	1	a	•	•	•	•	•	1952	1
U	1788	U	(Fingeralphabet) U	1	a	•	•	•	•	•	1788	1
Ü	1799	Ü	(Fingeralphabet) Ü	1	a	•	•	•	•	•	1799	1
V	1789	V	(Fingeralphabet) V	1	a	•	•	•	•	•	1789	1
W	1790	W	(Fingeralphabet) W	1	a	•	•	•	•	•	1790	1
was	780	was	'(Fragewort, Rückmeldung) allgemeine Frage, könnte je nach Situation bedeuten: z.B. - was willst du? - was ist? - über was redet ihr gerade? - wie meinst du das?'	1	a	•	•	•	•	•	780	1
X	1791	X	(Fingeralphabet) X	1	a	•	•	•	•	•	1791	1
Y	1792	Y	(Fingeralphabet) Y	1	a	•	•	•	•	•	1792	1
